,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017,geometry
16493,JPN,Japan,Azumi,WRI1000699,623,36.1325,137.7182,Hydro,,,,,Tokyo,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1031622,,,,,,,,,,1446.17,1463.73,2147.67,1718.83,1347.44,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16503,JPN,Japan,Daini Numazawa,WRI1000693,460,37.453,139.6019,Hydro,,,,,Tohoku,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1031502,,,,,,,,,,1150.22,916.05,1597.85,1116.99,996.37,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16541,JPN,Japan,Hatanagi No.2,WRI1020020,87,35.3246,138.1796,Hydro,,,,,Chubu,Chubu Electric Power Company,http://www.chuden.co.jp/english/corporate/ecor_company/ecom_reference/eref_facilities/index.html?ceid=ul_me,WRI,1103370,,,,,,,,,,242.2,199.2,320.02,236.58,199.2,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16563,JPN,Japan,Hitotsuse,WRI1000722,180,32.195,131.323,Hydro,,,,,Kyushu,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1021605,,,,,,,,,,504.94,380.89,697.93,464.85,439.63,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16566,JPN,Japan,Hoheiko,WRI1020234,50,42.9157,141.1537,Hydro,,,,1972,HOKKAIDO ELECTRIC POWER CO INC,Hokkaido,https://web.archive.org/web/20140310212140/http://www.hepco.co.jp/english/environment/pdf/report2008.pdf,WRI,1018564,,,,,,,,,,149.85,114.11,196.61,146.65,118.09,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16569,JPN,Japan,Hongawa,WRI1000718,615,33.7657,133.3411,Hydro,,,,,Shikoku,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,WRI,1028656,,,,,,,,,,1391.55,1087.61,1905.62,1350.98,1087.61,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16577,JPN,Japan,Ikawa,WRI1020024,62,35.2121,138.2246,Hydro,,,,,Chubu,Chubu Electric Power Company,http://www.chuden.co.jp/english/corporate/ecor_company/ecom_reference/eref_facilities/index.html?ceid=ul_me,WRI,1012279,,,,,,,,,,170.79,134.13,226.25,166.79,134.13,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16579,JPN,Japan,Ikehara,WRI1000731,350,34.0412,135.9753,Hydro,,,,,EPDC,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1014481,,,,,,,,,,847.96,784.86,1111.59,825.03,784.86,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16581,JPN,Japan,Imaichi,WRI1000696,1050,36.8295,139.6632,Hydro,,,,,Tokyo,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1031650,,,,,,,,,,3082.1,2739.93,3887.71,2920.67,2464.81,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
16605,JPN,Japan,Jozankei,WRI1020235,120,42.9871,141.1562,Hydro,,,,1989,Hydropower and Dams,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,WRI,1102630,,,,,,,,,,295.03,274.98,392.46,287.18,274.98,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,
